,productBrand,productCategory,commission
462,Park Street Imports,Mezcal,0.13
463,Cooperspiritsinternational,ROCK & RYE,0.28
464,"Cedar Ridge Vineyards,LLC",SINGLE BARREL BOURBON WHISKIES,0.18
465,E AND J GALLO WINERY,APRICOT BRANDIES,0.16
466,E AND J GALLO WINERY,PEACH BRANDIES,0.05
467,Shaw Ross International Importers LL,DISTILLED SPIRITS SPECIALTY,0.26
468,SAZERAC COMPANY  INC,Neutral Grain Spirits Flavored,0.24
469,Patron Spirits Company,Special Order Items,0.13
470,Luxco-St Louis,CREME DE ALMOND,0.08
471,FRANK LIN DISTILLERS PRO,,0.19
472,Jim Beam Brands,DARK CREME DE CACAO,0.31
473,"Worldwide Libations, LLC",,0.08
474,Luxco-Cleveland,100 PROOF VODKA,0.26
475,MADIKWE USA INC,American Distilled Spirit Specialty,0.27
476,McCormick Distilling Co.,American Distilled Spirits Specialty,0.18
477,Castle Brands,,0.1
478,Gemini Spirits,,0.1
479,The Patron Spirits Company,,0.21
480,STE MICHELLE WINE ESTATES,Special Order Items,0.17
481,Serralles USA,DECANTERS & SPECIALTY PACKAGES,0.04
482,Jim Beam Brands,American Vodka,0.14
483,Trinchero Family Estates,DECANTERS & SPECIALTY PACKAGES,0.09
484,Heaven Hill Brands,SINGLE BARREL BOURBON WHISKIES,0.15
485,"Moet Hennessy USA, Inc.",BARBADOS RUM,0.19
486,Pernod Ricard USA/Austin Nichols,BLACKBERRY BRANDIES,0.16
487,"WILDMAN AND SONS, F.",SINGLE MALT SCOTCH,0.12
488,Castle Brands,JAMAICA RUM,0.24
489,"WILLIAM GRANT AND SONS, INC.",BARBADOS RUM,0.06
490,OLE SMOKY DISTILLERY LLC,,0.03
491,Kobrand Corp,Special Order Items,0.1
492,"San Luis Spirits, Inc.",Special Order Items,0.05
493,"Whyte and Machay(Americas) Limited,L",SINGLE MALT SCOTCH,0.24
494,"Palm Bay Imports, Inc.",COFFEE LIQUEURS,0.28
495,Mhw LTD,Imported Distilled Spirit Specialty,0.19
496,Phillips Beverage Company,IRISH WHISKIES,0.13
497,Stoli Group,,0.15
498,Pernod Ricard USA/Austin Nichols,APRICOT BRANDIES,0.21
499,Sazerac North America,AMERICAN SLOE GINS,0.12
500,Jim Beam Brands,SINGLE BARREL BOURBON WHISKIES,0.15
501,Jim Beam Brands,AMERICAN AMARETTO,0.17
502,Jim Beam Brands,BOTTLED IN BOND BOURBON,0.3
503,"Moet Hennessy USA, Inc.",IRISH WHISKIES,0.3
504,Phillips Beverage,Single Malt Scotch,0.05
505,Shaw Ross International Importers LL,JAMAICA RUM,0.24
506,Brown-Forman Corporation,SINGLE BARREL BOURBON WHISKIES,0.21
507,Shaw-Ross International,Aged Dark Rum,0.21
508,"M.S. Walker, Inc.",MISCELLANEOUS  BRANDIES,0.32
509,Cats Eye Distillery,Corn Whiskies,0.3
510,"Evaton, Inc.",MISCELLANEOUS  BRANDIES,0.32
511,Bendistillery,AMERICAN SLOE GINS,0.2
512,"Bacardi U.S.A., Inc.",SINGLE MALT SCOTCH,0.32
513,CARRIAGE HOUSE IMPORTS,,0.09
514,"Charles Jacquin Et. Cie., Inc.",APRICOT BRANDIES,0.06
515,Four Roses Distillery,SINGLE BARREL BOURBON WHISKIES,0.27
516,"International Beverage Co., Inc.",MISCELLANEOUS  BRANDIES,0.3
517,Proximo,,0.14
518,Mhw LTD,Neutral Grain Spirits,0.09
519,Mississippi River Distilling Co.,PEACH SCHNAPPS,0.12
520,Laird & Company,Imported Cordials & Liqueur,0.04
521,MISSISSIPPI RIVER DISTIL,Single Barrel Bourbon Whiskies,0.06
522,CARRIAGE HOUSE IMPORTS,Special Order Items,0.19
523,W J Deutsch & Sons LTD,Imported Distilled Spirits Specialty,0.29
524,Phillips Beverage Company,MISCELLANEOUS  BRANDIES,0.22
525,Park Street Imports-Voli,LOW PROOF VODKA,0.08
526,Wilson Daniels Ltd.,CORN WHISKIES,0.18
527,MHW Ltd,AMERICAN AMARETTO,0.07
528,"Sazerac Co., Inc.",100 PROOF VODKA,0.09
529,William Grant & Sons Inc,Gold Rum,0.08
530,William Grant & Sons Inc,Corn Whiskies,0.15
531,"WILLIAM GRANT AND SONS, INC.",,0.15
532,Phillips Beverage,,0.1
533,PIEDMONT DISTILLERS INC,,0.2
534,Vision Wine and Spirits,MISCELLANEOUS  BRANDIES,0.11
535,Anchor Distilling (PREISS IMPORTS),JAPANESE WHISKY,0.12
536,Iowa Distilling Company,BARBADOS RUM,0.17
537,Niche Import Co.,DECANTERS & SPECIALTY PACKAGES,0.11
538,Piedmont Distillers,,0.22
539,Niche Import Co,Imported Cordials & Liqueur,0.27
540,Prestige Wine and Spirits Group,SINGLE MALT SCOTCH,0.15
541,Gemini Spirits,SINGLE MALT SCOTCH,0.26
542,Prestige Wine & Spirits Group,Single Malt Scotch,0.03
543,Infinium Spirits,Gold Rum,0.12
544,Anchor Distilling (PREISS IMPORTS),SINGLE MALT SCOTCH,0.33
545,SAZERAC COMPANY  INC,Straight Rye Whiskies,0.28
546,McCormick Distilling Co.,,0.07
547,TY KU LLC,Mezcal,0.21
548,Phillips Beverage Company,100 PROOF VODKA,0.27
549,SPIRIT OF HARTFORD,Mezcal,0.1
550,"International Beverage Co., Inc.",SINGLE MALT SCOTCH,0.26
551,William Grant & Sons Inc,Straight Rye Whiskies,0.33
552,Wilson Daniels Ltd.,JAMAICA RUM,0.14
553,Stern Beverage,LOW PROOF VODKA,0.21
554,"Tattersall Companies, LLC",American Distilled Spirit Specialty,0.33
555,DV Spirits LLC,Corn Whiskies,0.11
556,Pernod Ricard USA/Austin Nichols,CHERRY BRANDIES,0.06
557,3 Badge Mixology,FLAVORED GINS,0.06
558,Three Rangers,STRAIGHT RYE WHISKIES,0.28
559,Dehner Distillery,DISTILLED SPIRITS SPECIALTY,0.08
560,Artisan Grain Distillery,DISTILLED SPIRITS SPECIALTY,0.12
561,KOVAL DISTILLERY,American Distilled Spirits Specialty,0.24
562,Skyy Spirits Inc,Bottled in Bond Bourbon,0.27
563,Luxco-St Louis,IRISH WHISKIES,0.08
564,HOTALING & CO,Single Malt Scotch,0.18
565,DISARONNO INTERNATIONAL,,0.22
566,"WILLIAM GRANT AND SONS, INC.",SINGLE BARREL BOURBON WHISKIES,0.21
567,PERNOD RICARD USA,American Distilled Spirit Specialty,0.17
568,Mississippi River Distilling Co.,SINGLE BARREL BOURBON WHISKIES,0.26
569,"Sazerac Co., Inc.",SINGLE MALT SCOTCH,0.22
570,"Palm Bay Imports, Inc.",IRISH WHISKIES,0.23
571,Total Beverage Solutions,SINGLE MALT SCOTCH,0.04
572,Dilawri Barrels LLC,Straight Rye Whiskies,0.28
573,MHW Ltd,STRAIGHT RYE WHISKIES,0.18
574,Anchor Distilling (PREISS IMPORTS),IRISH WHISKIES,0.14
575,W J Deutsch & Sons LTD,Straight Rye Whiskies,0.34
576,BACARDI USA INC,Single Malt Scotch,0.15
577,Impex Beverages Inc,SINGLE MALT SCOTCH,0.31
578,Skyy Spirits Inc,Straight Rye Whiskies,0.12
579,ST GEORGE SPIRITS INC,American Distilled Spirits Specialty,0.2
580,Campari(skyy),SINGLE BARREL BOURBON WHISKIES,0.06
581,Aveniu Brands,AMERICAN ALCOHOL,0.12
582,Sidney Frank Importing Co.,IRISH WHISKIES,0.21
583,Pacific Edge Wine and Spirits,IRISH WHISKIES,0.11
584,"Chatham Imports,inc",STRAIGHT RYE WHISKIES,0.16
585,"Bacardi U.S.A., Inc.",DISTILLED SPIRITS SPECIALTY,0.32
586,"TY KU, LLC",DISTILLED SPIRITS SPECIALTY,0.29
587,Gemini Spirits,IRISH WHISKIES,0.23
588,SAZERAC COMPANY  INC,Single Malt Scotch,0.11
589,"Hood River Distillers, Inc.",DECANTERS & SPECIALTY PACKAGES,0.2
590,Luxco-St Louis,STRAIGHT RYE WHISKIES,0.05
591,"Winebow, Inc.",SINGLE MALT SCOTCH,0.24
592,Infinium Spirits,Imported Distilled Spirit Specialty,0.04
593,Castle Brands,IRISH WHISKIES,0.07
594,Skyy Spirits Inc,Single Barrel Bourbon Whiskies,0.27
595,FRANK LIN DISTILLERS PRO,Special Order Items,0.31
596,IMPEX BEVERAGE INC,Special Order Items,0.3
597,Laird And Company,IMPORTED AMARETTO,0.29
598,Brown Forman Corp.,Single Malt Scotch,0.08
599,SURVILLE ENTERPRISES CORP,Special Order Items,0.12
600,CHATHAM IMPORTS INC,,0.08
601,Diageo Americas,IRISH WHISKIES,0.06
602,HOTALING & CO,American Distilled Spirits Specialty,0.12
603,ST GEORGE SPIRITS INC,American Distilled Spirit Specialty,0.15
604,Domaine Select,Single Malt Scotch,0.22
605,Doc Brown Enterprises,Aged Dark Rum,0.23
606,"ASDSpirits, LLC",DISTILLED SPIRITS SPECIALTY,0.11
607,"William Grant and Sons, Inc.",IRISH WHISKIES,0.23
608,SAZERAC COMPANY  INC,Gold Rum,0.31
609,Windy Hill Spirits,,0.08
610,VINO COM LLC,Special Order Items,0.1
611,Classic Wine Imports,SINGLE MALT SCOTCH,0.17
612,SAZERAC NORTH AMERICA,Straight Rye Whiskies,0.04
613,Demerara Distillers (USA) Inc.,Aged Dark Rum,0.12
614,William Grant & Sons Inc,Aged Dark Rum,0.07
615,Luxco-St Louis,SINGLE BARREL BOURBON WHISKIES,0.24
616,Kobrand Corporation,,0.2
617,MHW Ltd,,0.18
618,NORTH SHORE DISTILLERY,Special Order Items,0.07
619,Pittsburgh Distilling Company LLC,Straight Rye Whiskies,0.32
620,"Cedar Ridge Vineyards,LLC",CORN WHISKIES,0.23
621,3 Badge Mixology,STRAIGHT RYE WHISKIES,0.3
622,Heaven Hill Brands,100 PROOF VODKA,0.08
623,Luxco-St Louis,CORN WHISKIES,0.26
624,"Ole Smoky Distillery, LLC",,0.09
625,STOLI GROUP,Single Malt Scotch,0.05
626,"WILDMAN AND SONS, F.",IRISH WHISKIES,0.23
627,Artisan Grain Distillery,,0.15
628,Aveniu Brands,100 PROOF VODKA,0.25
629,MODERN SPIRIT LLC,Special Order Items,0.1
630,SAZERAC NORTH AMERICA,Aged Dark Rum,0.18
631,IMPERIAL BRANDS INC,,0.24
632,Mccormick Distilling Company,OTHER PROOF VODKA,0.08
633,AMERICAN VINTAGE BEVERAGE,,0.14
634,STOLI GROUP,,0.31
635,WESTERN SPIRITS BEVERAGE,Special Order Items,0.13
636,JDSO INC / Red Boot Distillery,Neutral Grain Spirits,0.08
637,W J Deutsch & Sons LTD,Aged Dark Rum,0.14
638,Luxco-Cleveland,APPLE SCHNAPPS,0.2
639,Shaw-Ross International,Gold Rum,0.25
640,Infinium Spirits,Aged Dark Rum,0.32
641,WESTERN SPIRITS BEVERAGE,Bottled in Bond Bourbon,0.13
642,E & J Gallo Winery,Aged Dark Rum,0.12
643,Prestige Wine & Spirits Group,Imported Cordials & Liqueur,0.19
644,GUNSANDMORE INFO LLC,Iowa Distilleries,0.1
645,Mhw LTD,American Cordials & Liqueurs,0.23
646,PERNOD RICARD USA,Imported Cordials & Liqueur,0.3
647,JDSO INC / Red Boot Distillery,Straight Rye Whiskies,0.33
648,"Marussia Beverages USA, Inc / Niche Import",Gold Rum,0.06
649,Castle Brands,Imported Cordials & Liqueur,0.24
650,BACARDI USA INC,Coffee Liqueurs,0.3
651,PROXIMO,Straight Rye Whiskies,0.2
652,Hood River Distillers,Imported Cordials & Liqueur,0.08
653,Heaven Hill Brands,American Distilled Spirits Specialty,0.0
654,Cats Eye Distillery,Temporary &  Specialty Packages,0.07
655,Best Case Wines LLC,Special Order Items,0.2
656,PERNOD RICARD USA,Straight Rye Whiskies,0.05
657,CEDAR RIDGE VINEYARDS LL,Temporary &  Specialty Packages,0.13
658,WESTERN SPIRITS BEVERAGE,,0.14
659,Mhw LTD,American Vodka,0.0
660,Grand Prix Beverage LLC,Imported Distilled Spirit Specialty,0.2
661,DIAGEO AMERICAS,Mezcal,0.24
662,Heaven Hill Brands,Corn Whiskies,0.06
663,MOET HENNESSY USA,Temporary &  Specialty Packages,0.17
664,"Worldwide Libations, LLC",Imported Cordials & Liqueur,0.29
665,PIEDMONT DISTILLERS INC,Single Barrel Bourbon Whiskies,0.14
666,"Worldwide Libations, LLC",Aged Dark Rum,0.09
667,SAZERAC NORTH AMERICA,Temporary &  Specialty Packages,0.11
668,DEHNER DISTILLERY,Straight Rye Whiskies,0.12
669,Georgetown Trading Co. LLC,Straight Rye Whiskies,0.26
670,STOLI GROUP,Mezcal,0.17
671,CONSTELLATION BRANDS INC,Gold Rum,0.21
672,Vision Wine & Spirit LLC,Aged Dark Rum,0.3
673,McCormick Distilling Co.,Temporary &  Specialty Packages,0.17
674,"Sovereign Brands, LLC",Imported Cordials & Liqueur,0.32
675,"James Joseph Sanctified Spirits, LLC / Oak&Eden",Distilled Spirits Specialty,0.26
676,REMY COINTREAU USA INC,Aged Dark Rum,0.08
677,DAVOS BRANDS LLC,Corn Whiskies,0.28
678,DISARONNO INTERNATIONAL,Temporary &  Specialty Packages,0.3
679,Park Street Imports,Straight Rye Whiskies,0.04
680,"James Joseph Sanctified Spirits, LLC / Oak&Eden",American Distilled Spirit Specialty,0.18
681,Vision Wine & Spirit LLC,Mezcal,0.12
682,Bedford & Grove LLC/ Chankaska Creek and Ranch Winery,Straight Rye Whiskies,0.11
683,45TH PARALLEL SPIRITS,Straight Rye Whiskies,0.03
684,SERRALLES USA,Gold Rum,0.24
685,E & J Gallo Winery,Gold Rum,0.23
686,STOLLER IMPORTS INC / MARSALLE COMPANY,Mezcal,0.31
687,MOET HENNESSY USA,Imported Vodka,0.19
688,WILSON DANIELS LTD,Straight Rye Whiskies,0.2
689,STOLLER IMPORTS INC / MARSALLE COMPANY,Straight Rye Whiskies,0.04
690,SAZERAC COMPANY  INC,Mezcal,0.05
691,DIAGEO AMERICAS,Holiday VAP,0.34
692,Rocky Top Investments / Rock River Distillation,Straight Rye Whiskies,0.22
693,LUXCO INC,Temporary &  Specialty Packages,0.13
694,IA-Native Spirits,American Distilled Spirit Specialty,0.23
695,Brown Forman Corp.,Delisted Items,0.02
696,WILSON DANIELS LTD,Iowa Distillery Whiskies,0.39
697,PIEDMONT DISTILLERS INC,Straight Rye Whiskies,0.31
698,Vision Wine & Spirit LLC,Single Malt Scotch,0.16
699,"Cowboy Country Distilling, Inc.",Single Barrel Bourbon Whiskies,0.11
700,LUXCO INC,American Distilled Spirits Specialty,0.0
701,AMERICAN SPIRITS EXCHANGE,Straight Rye Whiskies,0.21
702,STOLI GROUP,Straight Rye Whiskies,0.09
703,S&B Farms Distillery,Corn Whiskies,0.1
704,MISSISSIPPI RIVER DISTIL,American Vodka,0.32
705,HIGH WEST DISTILLERY LLC,Straight Rye Whiskies,0.0
706,Vision Wine & Spirit LLC,American Distilled Spirit Specialty,0.33
707,"James Joseph Sanctified Spirits, LLC / Oak&Eden",Imported Distilled Spirit Specialty,0.15
708,BACARDI USA INC,Imported Distilled Spirits Specialty,0.04
709,WILSON DANIELS LTD,Gold Rum,0.35
710,Jim Beam Brands,Cocktails / RTD,0.0
711,Georgetown Trading Co. LLC / James Pepper Distilling Co.,Straight Rye Whiskies,0.32
712,SAZERAC NORTH AMERICA,American Cordials & Liqueurs,0.0
713,Campari America,Mezcal,0.33
714,"John Ernest Distillery, Inc.",American Distilled Spirit Specialty,0.18
715,FIFTH GENERATION INC,,0.77
716,CEDAR RIDGE VINEYARDS LL,American Vodka,0.52
717,KOLOA RUM COMPANY,Cocktails / RTD,0.21
718,MINHAS MICRO DISTILLERY,Temporary &  Specialty Packages,0.25
719,Jim Beam Brands,CREME DE ALMOND,0.2
720,"Imperial Brands, Inc.",IMPORTED VODKA - CHERRY,0.13
721,Jim Beam Brands,APRICOT BRANDIES,0.2
722,Levecke Corporation,Triple Sec,0.09
723,Stolller Warehouse,Special Order Items,0.13
724,Pernod Ricard USA/Austin Nichols,GREEN CREME DE MENTHE,0.08
725,Pernod Ricard USA/Austin Nichols,DARK CREME DE CACAO,0.19
726,Luxco-Cleveland,CHERRY BRANDIES,0.32
727,Pernod Ricard USA/Austin Nichols,PEACH SCHNAPPS,0.31
728,Edrington Group USA LLC,,0.16
729,BACARDI USA INC,Cocktails / RTD,0.4
730,LUXCO INC,Imported Vodka,0.0
731,Prestige Wine & Spirits Group,American Vodka,0.0
732,AMERICAN VINTAGE BEVERAGE,Cocktails / RTD,0.36
733,DIAGEO AMERICAS,Cocktails / RTD,0.12
734,GoAmericaGo Beverages LLC / WhistlePig,Temporary &  Specialty Packages,0.28
735,YAHARA BAY DISTILLERS INC,Single Barrel Bourbon Whiskies,0.35
736,CONSTELLATION BRANDS INC,Special Order Items,0.31
737,Pernod Ricard USA/Austin Nichols,AMERICAN SLOE GINS,0.3
738,Luxco-St Louis,,0.33
739,Gunsandmore.info,,0.05
740,OLE SMOKY DISTILLERY LLC,Neutral Grain Spirits,0.16
741,"Palm Bay Imports, Inc.",TRIPLE SEC,0.3
742,Aiko Importers Inc,IRISH WHISKIES,0.2
743,Jim Beam Brands,CORN WHISKIES,0.3
744,DEHNER DISTILLERY,Imported Distilled Spirit Specialty,0.11
745,Willett Distillery,STRAIGHT RYE WHISKIES,0.14
746,Cooperspiritsinternational,STRAIGHT RYE WHISKIES,0.08
747,Campari(skyy),CORN WHISKIES,0.13
748,Three Rangers,Straight Rye Whiskies,0.26
749,"W. J. Deutsch And Sons, Ltd.",DECANTERS & SPECIALTY PACKAGES,0.23
750,"Chatham Imports,inc",CORN WHISKIES,0.13
751,ARTISAN GRAIN DISTILLERY,Corn Whiskies,0.23
752,Shand Import LLC,FLAVORED GINS,0.07
753,"Sazerac Co., Inc.",ROOT BEER SCHNAPPS,0.09
754,E and J Gallo Winery,100 PROOF VODKA,0.15
755,Boston Beer Company,HIGH PROOF BEER - AMERICAN,0.01
756,E and J Gallo Winery,SINGLE MALT SCOTCH,0.19
757,Artisan Grain Distillery,AMERICAN ALCOHOL,0.23
758,Blaum Bros. Distilling Co.,100 PROOF VODKA,0.27
759,Koenig Distillery Inc,,0.3
760,Eastside Distilling,American Distilled Spirits Specialty,0.06
761,Wilson Daniels Ltd.,JAPANESE WHISKY,0.33
762,Aveniu Brands,STRAIGHT RYE WHISKIES,0.06
763,REMY COINTREAU USA INC,Imported Cordials & Liqueur,0.15
764,SAZERAC COMPANY  INC,Cocktails / RTD,0.0
765,HOTALING & CO,Imported Cordials & Liqueur,0.32
766,STOLI GROUP,Imported Vodka,0.0
767,MOET HENNESSY USA,Neutral Grain Spirits,0.05
768,PROXIMO,Imported Distilled Spirit Specialty,0.06
769,Cats Eye Distillery,Straight Rye Whiskies,0.08
770,SURVILLE ENTERPRISES CORP,American Distilled Spirit Specialty,0.15
771,E & J Gallo Winery,Imported Cordials & Liqueur,0.07
772,R�my Cointreau USA,JAMAICA RUM,0.25
773,"International Beverage Co., Inc.",DISTILLED SPIRITS SPECIALTY,0.12
774,Jim Beam Brands,Imported Distilled Spirit Specialty,0.26
775,Mango Bottling,Cocktails / RTD,0.0
776,DEHNER DISTILLERY,American Vodka,0.0
777,Prestige Wine and Spirits Group,100 PROOF VODKA,0.26
778,Woody Creek Distillers LLC,Straight Rye Whiskies,0.2
779,Modern Matriarch,Gold Rum,0.05
780,Meisenburg Brewing & Distilling,Neutral Grain Spirits,0.23
781,STOLI GROUP,Aged Dark Rum,0.32
782,Paterno Imports LTD / Terlato Wines International,Imported Distilled Spirits Specialty,0.33
783,FRANK LIN DISTILLERS PRO,Bottled in Bond Bourbon,0.18
784,Infinium Spirits,Temporary &  Specialty Packages,0.14
785,HILLROCK ESTATE DISTILLERY,Special Order Items,0.17
786,Niche Import Co,Special Order Items,0.12
787,STOLLER IMPORTS INC / MARSALLE COMPANY,American Distilled Spirit Specialty,0.15
788,SAZERAC NORTH AMERICA,Bottled in Bond Bourbon,0.28
789,Wilderness Trail Distillery,Straight Rye Whiskies,0.23
790,AHA TORO SPIRITS INC,Special Order Items,0.2
791,Sugarlands Distilling Company LLC,Corn Whiskies,0.15
792,S&B Farmstead Distillery,Iowa Distillery Whiskies,0.25
793,"Traverse City Whiskey Co / TCWC, LLC",Straight Rye Whiskies,0.29
794,HOTALING & CO,Imported Whiskies,0.14
795,Park Street Imports,American Distilled Spirit Specialty,0.0
796,Park Street Imports,Imported Vodka,0.02
797,ST GEORGE SPIRITS INC,Single Malt Scotch,0.29
798,PALM BAY INTERNATIONAL,Aged Dark Rum,0.05
799,Hemingway Rum Company LLC,Aged Dark Rum,0.23
800,Phillips Beverage,Single Barrel Bourbon Whiskies,0.25
801,KOLOA RUM COMPANY,Aged Dark Rum,0.13
802,Revelton Distilling Company,Corn Whiskies,0.19
803,Paterno Imports LTD / Terlato Wines International,Single Malt Scotch,0.14
804,Edrington Group USA LLC,Aged Dark Rum,0.13
805,Paterno Imports LTD / Terlato Wines International,Special Order Items,0.12
806,HOTALING & CO,Mezcal,0.24
807,Des Moines Imports,Imported Distilled Spirit Specialty,0.28
808,Shaw-Ross International,Single Malt Scotch,0.13
809,3 BADGE CORPORATION,Mezcal,0.09
810,Mhw LTD,Straight Rye Whiskies,0.2
811,Edrington Group USA LLC,Straight Rye Whiskies,0.19
812,ST GEORGE SPIRITS INC,Flavored Gin,0.17
813,S&B Farms Distillery,Single Barrel Bourbon Whiskies,0.14
814,Jacob Rieger & Company LLC,Coffee Liqueurs,0.11
815,KOVAL DISTILLERY,Straight Rye Whiskies,0.18
816,PACIFIC EDGE WINE & SPIRITS,Single Malt Scotch,0.24
817,S&B Farmstead Distillery,Corn Whiskies,0.12
818,LUXCO INC,Imported Cordials & Liqueur,0.18
819,Lonely Oak Distillery,Aged Dark Rum,0.03
820,Dreyfus Ashby,Special Order Items,0.07
821,Park Street Imports,Single Barrel Bourbon Whiskies,0.31
822,AHA TORO SPIRITS INC / Aha Yeto Tequila,Special Order Items,0.24
823,Vino.com dba Total Beverage Solution,Single Malt Scotch,0.27
824,DAVOS BRANDS LLC,Straight Rye Whiskies,0.15
825,Cats Eye Distillery,Aged Dark Rum,0.24
826,Paterno Imports LTD,Single Malt Scotch,0.35
827,Park Street Imports,Gold Rum,0.25
828,IMPEX BEVERAGE INC,Single Malt Scotch,0.26
829,HIGH WEST DISTILLERY LLC,Special Order Items,0.14
830,Vino.com dba Total Beverage Solution,Imported Cordials & Liqueur,0.12
831,MISSISSIPPI RIVER DISTIL,Distilled Spirits Specialty,0.33
832,Vikre Distillery,Imported Distilled Spirit Specialty,0.25
833,Park Street Imports,Aged Dark Rum,0.24
834,William Grant & Sons Inc,Mezcal,0.28
835,"Green Frog Distillery, LLC",Temporary &  Specialty Packages,0.19
836,Altamar Brands LLC,Aged Dark Rum,0.06
837,Paterno Imports LTD / Terlato Wines International,Aged Dark Rum,0.3
838,Niche Import Co,Imported Distilled Spirit Specialty,0.14
839,Mhw LTD,Imported Gins,0.22
840,PROXIMO,Flavored Gin,0.05
841,LUXCO INC,American Distilled Spirit Specialty,0.3
842,Edrington Group USA LLC,Gold Rum,0.18
843,IMPERIAL BRANDS INC,Special Order Items,0.32
844,Vino.com dba Total Beverage Solution,Special Order Items,0.12
845,Driftless Glen Distillery,Straight Rye Whiskies,0.06
846,DV Spirits LLC,Imported Cordials & Liqueur,0.1
847,DAVOS BRANDS LLC,Imported Cordials & Liqueur,0.11
848,"New Holland Brewing Company, LLC",Bottled in Bond Bourbon,0.17
849,William Grant & Sons Inc,Imported Cordials & Liqueur,0.25
850,KINDRED SPIRIT N AMERICA,Special Order Items,0.22
851,Vision Wine & Spirit LLC,Imported Distilled Spirit Specialty,0.21
852,Paterno Imports LTD,Imported Distilled Spirits Specialty,0.0
853,VINO COM LLC,Gold Rum,0.09
854,MINHAS MICRO DISTILLERY,Neutral Grain Spirits,0.26
855,Caribbean Spirits Inc,Aged Dark Rum,0.15
856,Lloyd Caruso LLC,,0.19
857,Cats Eye Distillery,Coffee Liqueurs,0.09
858,Heaven Hill Brands,American Cordials & Liqueurs,0.17
859,DISARONNO INTERNATIONAL,Coffee Liqueurs,0.2
860,CEDAR RIDGE VINEYARDS LL,American Cordials & Liqueurs,0.26
861,Modern Matriarch,American Distilled Spirit Specialty,0.19
862,MARSALLE COMPANY,Straight Rye Whiskies,0.2
863,Swell Liquor LLC,American Vodka,0.0
864,Proximo,TEQUILA,0.18
865,The Patron Spirits Company,TEQUILA,0.15
866,Luxco-St Louis,TEQUILA,0.33
867,Pernod Ricard USA/Austin Nichols,TEQUILA,0.15
868,Jim Beam Brands,TEQUILA,0.31
869,"Sazerac Co., Inc.",TEQUILA,0.21
870,Drinks Americas,TEQUILA,0.29
871,Gemini Spirits,TEQUILA,0.1
872,Sazerac North America,TEQUILA,0.08
873,Brown-Forman Corporation,TEQUILA,0.1
874,Diageo Americas,TEQUILA,0.29
875,"Constellation Wine Company, Inc.",TEQUILA,0.12
876,Campari(skyy),TEQUILA,0.09
877,E AND J GALLO WINERY,TEQUILA,0.2
878,"WILLIAM GRANT AND SONS, INC.",TEQUILA,0.3
879,Trinchero Family Estates,TEQUILA,0.1
880,Phillips Beverage Company,TEQUILA,0.16
881,"Bacardi U.S.A., Inc.",TEQUILA,0.18
882,Santa Fe Tequila Company,TEQUILA,0.04
883,Mccormick Distilling Company,TEQUILA,0.12
884,E and J Gallo Winery,TEQUILA,0.33
885,Heaven Hill Brands,TEQUILA,0.24
886,"William Grant and Sons, Inc.",TEQUILA,0.2
887,Sidney Frank Importing Co.,TEQUILA,0.07
888,"Dorado, Pizzorni & Sons, LLC",TEQUILA,0.24
889,MHW Ltd,TEQUILA,0.19
890,Wilson Daniels Ltd.,TEQUILA,0.17
891,Marsalle Company/Stoller Warehouse,TEQUILA,0.05
892,Anchor Distilling (PREISS IMPORTS),TEQUILA,0.05
893,Aveniu Brands,TEQUILA,0.29
894,Park Street Imports-Tanteo,TEQUILA,0.18
895,Modern Spirits,TEQUILA,0.19
896,Minhas Micro Distillery,TEQUILA,0.37
897,Liquor Group Wholesale,TEQUILA,0.11
898,SAZERAC NORTH AMERICA,White Rum,0.31
899,BACARDI USA INC,White Rum,0.04
900,LUXCO INC,White Rum,0.08
901,Mhw LTD,White Rum,0.04
902,DEHNER DISTILLERY,White Rum,0.13
903,SAZERAC COMPANY  INC,White Rum,0.24
904,Phillips Beverage,White Rum,0.11
905,Gemini Spirits,White Rum,0.17
906,DIAGEO AMERICAS,White Rum,0.08
907,Jim Beam Brands,White Rum,0.11
908,Laird & Company,White Rum,0.23
909,JDSO INC / Red Boot Distillery,White Rum,0.07
910,"Distillers Way, LLC",White Rum,0.33
911,E & J Gallo Winery,White Rum,0.04
912,Prestige Wine & Spirits Group,White Rum,0.02
913,William Grant & Sons Inc,White Rum,0.21
914,"Foundry Distilling Company, LLC",White Rum,0.1
915,Red Boot Distillery,White Rum,0.18
916,DUNKEL CORPORATION,White Rum,0.33
917,SERRALLES USA,White Rum,0.27
918,"Caribbean Distillers, LLC",White Rum,0.09
919,PARADISE DISTILLING COMPANY,White Rum,0.03
920,ARTISAN GRAIN DISTILLERY,White Rum,0.04
921,CEDAR RIDGE VINEYARDS LL,White Rum,0.09
922,Heaven Hill Brands,White Rum,0.07
923,Modern Matriarch,White Rum,0.06
924,"Worldwide Libations, LLC",White Rum,0.03
925,STOLI GROUP,White Rum,0.3
926,"Valhalla Imports, LLC",White Rum,0.12
927,DUNKEL CORPORATION / Iowa Distilling,White Rum,0.18
928,Levecke Corporation,White Rum,0.16
929,Demerara Distillers (USA) Inc.,White Rum,0.26
930,Edrington Group USA LLC,White Rum,0.28
931,Diageo Americas,SPICED RUM,0.32
932,Heaven Hill Brands,SPICED RUM,0.12
933,Proximo,SPICED RUM,0.31
934,"WILLIAM GRANT AND SONS, INC.",SPICED RUM,0.3
